Nazwisko,Liczba wystąpień
CZEKAJ,4574
CZERNIAK,4573
KASPEREK,4570
GŁĄB,4565
FRĄTCZAK,4552
BARTNIK,4548
GADOMSKA,4545
STACHURSKA,4537
JAROS,4534
TRACZ,4531
GOLEC,4528
KUŹMA,4525
KORZENIOWSKA,4516
WIĄCEK,4514
URBANOWICZ,4511
KUCIŃSKA,4499
BŁASZCZAK,4496
OLCZYK,4492
WOLIŃSKA,4484
PIETRUSZKA,4480
PAWLICKA,4461
SURMA,4459
OSSOWSKA,4457
RUDZKA,4454
SZELĄG,4450
ŻYŁA,4447
RYBARCZYK,4438
STACHOWICZ,4436
KOPACZ,4425
ZABŁOCKA,4423
MOSKAL,4420
ALEKSANDROWICZ,4414
SZYMKOWIAK,4405
PIOTROWICZ,4402
BIELSKA,4401
RYŚ,4396
BUDZIŃSKA,4389
GRUDZIEŃ,4388
KOSTECKA,4387
ŚLĘZAK,4375
MACKIEWICZ,4374
KOSOWSKA,4372
KOS,4371
RADECKA,4370
MAGIERA,4360
WOJTKOWIAK,4353
WARZECHA,4349
LESIAK,4345
PRUS,4345
WOŹNICA,4339
KULIŃSKA,4320
GRZEŚKOWIAK,4318
BIELIŃSKA,4314
MILLER,4313
JURCZYK,4306
KAWECKA,4305
KUJAWSKA,4304
RUDNIK,4301
TRELA,4297
NAPIERAŁA,4289
SĘK,4287
SOBAŃSKA,4285
WOJTASIK,4279
PELC,4275
KOZIK,4274
SOBOTA,4262
KMIEĆ,4253
STAWICKA,4250
KRASOWSKA,4249
KRAKOWSKA,4244
GRUDZIŃSKA,4240
TOMASIK,4238
SEKUŁA,4237
OLEKSY,4229
WOLNA,4228
HERMAN,4226
PEŁKA,4221
SKORUPA,4219
FURMAN,4212
SZUBA,4212
WOŁOSZYN,4207
POGORZELSKA,4195
GUT,4179
ŚMIGIELSKA,4170
MIERZWA,4164
ŚWIĄTKOWSKA,4164
PIWOWARSKA,4162
ROMAN,4158
BANASZEK,4156
BISKUP,4147
LITWIN,4143
SZWARC,4140
IZDEBSKA,4129
ŁUKASZEWICZ,4122
HOFFMANN,4121
KRUCZEK,4099
RATAJCZYK,4097
KRUKOWSKA,4095
KAWKA,4079
JUSZCZYK,4064
NIEDZIELA,4059
PIĘTKA,4047
STUDZIŃSKA,4046
ROSZAK,4043
MAKUCH,4038
WERNER,4035
